@relation 'AT: bloodDonation-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '-0.611Frequency (times)-0.611Monetary (c.c. blood)-0.494Time (months)+0.093Recency (months)' numeric
@attribute '0.915Recency (months)+0.384Time (months)-0.085Monetary (c.c. blood)-0.085Frequency (times)' numeric
@attribute '0.78 Time (months)-0.391Recency (months)-0.345Monetary (c.c. blood)-0.345Frequency (times)' numeric
@attribute 'whether he/she donated blood in March 2007' {Yes,No}

@data
-10.691235,-1.142435,-2.856571,Yes
-1.549606,-1.392284,-0.626237,Yes
-2.307978,-1.25642,-0.805203,Yes
-3.336501,-1.10246,-1.006372,Yes
0.013334,-1.211679,-0.461704,Yes
-0.567492,-1.143985,-0.442107,Yes
-9.819153,-0.68654,-2.528777,Yes
-0.898431,-1.078634,-0.368305,Yes
0.20243,-1.166766,-0.311491,Yes
0.492842,-1.200613,-0.321289,Yes
-2.141136,-0.880238,-0.201104,Yes
-2.370758,-0.893647,-0.287312,Yes
0.20243,-1.166766,-0.311491,Yes
1.053404,-1.252555,-0.308883,Yes
1.053404,-1.252555,-0.308883,Yes
0.182166,-1.151014,-0.279489,Yes
0.182166,-1.151014,-0.279489,Yes
-1.415633,-0.816277,-0.509412,Yes
0.515939,-0.974446,-0.417988,Yes
-0.875334,-0.852467,-0.465004,Yes
-0.875334,-0.852467,-0.465004,Yes
-0.625449,-0.85481,-0.410798,Yes
-0.479713,-1.020312,-0.131884,Yes
-1.702154,-0.837668,0.003315,Yes
0.205263,-0.924847,-0.376188,Yes
-2.323506,-0.73847,0.086915,Yes
-0.125677,-0.859496,-0.302385,Yes
-2.033094,-0.772317,0.077117,Yes
0.391525,-1.121853,-0.161279,Yes
-3.799725,-0.498245,-0.33502,Yes
-0.665975,-0.823306,-0.346793,Yes
-1.472531,-0.824259,0.089523,Yes
0.455149,-0.92719,-0.321982,Yes
-3.590366,-0.469084,-0.21681,Yes
-0.416089,-0.825649,-0.292587,Yes
-0.270354,-0.991151,-0.013674,Yes
-0.621557,-0.910048,0.092131,Yes
0.414622,-0.895686,-0.257977,Yes
0.952087,-1.173795,-0.148873,Yes
0.641411,-1.124196,-0.107072,Yes
-3.212174,-0.379258,0.083615,Yes
1.262763,-1.223394,-0.190673,Yes
1.262763,-1.223394,-0.190673,Yes
0.600884,-1.092692,-0.043068,Yes
0.063419,-0.814583,-0.152173,Yes
-0.060995,-0.96199,0.104537,Yes
-0.412198,-0.880887,0.210341,Yes
1.28586,-0.997227,-0.287372,Yes
-0.868609,-0.665786,-0.026772,Yes
0.664508,-0.898029,-0.203771,Yes
-0.195182,-0.683404,-0.222726,Yes
-0.578196,-0.699633,-0.03657,Yes
-2.499152,-0.410021,0.813166,Yes
0.272778,-0.785422,-0.033962,Yes
-0.699777,-0.605121,0.155443,Yes
-0.635095,-0.707615,0.562364,Yes
-2.141223,-0.304443,1.145593,Yes
0.810244,-1.063531,0.075142,Yes
0.211988,-0.738166,0.062044,Yes
-0.324419,-0.757214,0.520564,Yes
0.047048,-0.854069,0.382758,Yes
-0.821357,-0.510609,0.347455,Yes
-0.861884,-0.479105,0.41146,Yes
1.141183,-1.128882,0.00134,Yes
1.184543,-0.918467,-0.127361,Yes
0.83334,-0.837364,-0.021557,Yes
1.12092,-1.11313,0.033342,Yes
-0.878256,-0.518591,0.94639,Yes
1.512649,-1.225737,-0.136467,Yes
1.512649,-1.225737,-0.136467,Yes
1.512649,-1.225737,-0.136467,Yes
1.512649,-1.225737,-0.136467,Yes
0.70482,-0.07494,-0.478212,Yes
0.070144,-0.627902,0.286059,Yes
-0.301322,-0.531047,0.423865,Yes
0.421347,-0.709005,0.180254,Yes
0.029618,-0.596398,0.350063,Yes
-0.23664,-0.633541,0.830787,Yes
-0.601508,-0.071207,-0.150308,Yes
1.167113,-0.660795,-0.160056,Yes
1.495219,-0.968065,-0.169161,Yes
1.495219,-0.968065,-0.169161,Yes
1.495219,-0.968065,-0.169161,Yes
1.495219,-0.968065,-0.169161,Yes
1.495219,-0.968065,-0.169161,Yes
1.495219,-0.968065,-0.169161,Yes
-0.896744,0.036238,0.346071,Yes
0.65097,-0.695596,0.266463,Yes
-3.293443,0.538343,0.001187,Yes
-0.639201,0.202216,-0.151001,Yes
0.914179,-0.045779,-0.360002,Yes
-2.543785,0.531314,0.163805,Yes
0.364449,-0.716987,0.779189,Yes
0.07687,-0.441221,0.72429,Yes
0.617885,0.358823,-0.431248,Yes
1.100442,-0.242785,-0.145093,Yes
0.286945,0.424174,-0.357445,Yes
0.888034,0.340728,-0.409044,Yes
0.597622,0.374575,-0.399246,Yes
0.06993,0.226691,0.075622,Yes
-1.476726,0.661367,0.722855,Yes
-0.236855,0.221052,0.62035,Yes
-0.786927,0.683235,-0.00803,Yes
0.496305,0.453335,-0.239235,Yes
-0.041161,0.731444,-0.34834,Yes
-0.855374,0.562169,0.639254,Yes
0.870604,0.598399,-0.441738,Yes
1.434215,-0.066216,-0.283592,Yes
1.056867,0.401393,-0.226829,Yes
0.066881,0.839365,-0.070119,Yes
0.333481,-0.256883,1.216728,Yes
0.427858,0.332269,0.408049,Yes
1.137705,1.192978,-0.565275,Yes
0.827029,1.242577,-0.523475,Yes
-1.304216,1.521387,1.19756,Yes
1.347065,1.222139,-0.447064,Yes
1.33835,1.350975,-0.463412,Yes
-0.000005,2.111969,-0.265593,Yes
-8.98256,-1.127332,-2.413124,Yes
-3.364548,-0.976232,-1.980227,Yes
-6.915957,-1.00665,-1.63725,Yes
-5.243918,-1.015281,-0.62687,Yes
-8.807003,-0.879986,-1.792678,Yes
-3.473521,-1.065793,-1.268939,Yes
-3.687703,-1.021357,-0.900568,Yes
-1.607562,-1.103109,-0.594928,Yes
0.867142,-1.055549,-0.523792,Yes
-2.334123,-0.869913,-0.854245,Yes
0.484127,-1.071777,-0.337636,Yes
-7.109033,-0.42053,-0.943693,Yes
-0.9882,-0.88679,-0.256644,Yes
-0.875334,-0.852467,-0.465004,Yes
-1.350951,-0.918771,-0.10249,Yes
-1.371215,-0.903019,-0.070488,Yes
-1.726309,-0.766678,-0.467611,Yes
-1.213931,-0.955437,0.160076,Yes
0.391525,-1.121853,-0.161279,Yes
0.060586,-1.056502,-0.087476,Yes
0.414622,-0.895686,-0.257977,Yes
0.641411,-1.124196,-0.107072,Yes
0.414622,-0.895686,-0.257977,Yes
-0.351407,-0.928143,0.114335,Yes
-0.020468,-0.993494,0.040532,Yes
-0.682347,-0.862792,0.188137,Yes
1.262763,-1.223394,-0.190673,Yes
-0.060995,-0.96199,0.104537,Yes
-2.982552,-0.365849,0.169823,Yes
1.28586,-0.997227,-0.287372,Yes
1.28586,-0.997227,-0.287372,Yes
-2.168212,-0.475372,0.739364,Yes
-0.328311,-0.701976,0.017636,Yes
-0.202838,-0.851726,0.328551,Yes
-0.037898,-0.735823,0.007838,Yes
-1.814176,-0.314556,0.568862,Yes
-3.549927,0.075207,1.065883,Yes
-0.179742,-0.625559,0.231853,Yes
1.12092,-1.11313,0.033342,Yes
1.12092,-1.11313,0.033342,Yes
-0.240532,-0.578303,0.327859,Yes
0.349009,-0.774832,0.32461,Yes
1.512649,-1.225737,-0.136467,Yes
1.512649,-1.225737,-0.136467,Yes
-1.452483,0.014582,-0.152916,Yes
1.503934,-1.096901,-0.152814,Yes
1.495219,-0.968065,-0.169161,Yes
1.495219,-0.968065,-0.169161,Yes
0.25924,-0.582989,0.436271,Yes
0.977803,0.148885,-0.520705,Yes
-1.867397,0.476817,1.460288,Yes
-0.862099,0.375488,0.201023,Yes
1.19871,0.291129,-0.450844,Yes
1.434215,-0.066216,-0.283592,Yes
-0.385297,-0.134163,1.963267,Yes
-2.358796,1.486058,-0.399348,Yes
-0.70503,1.177663,0.221149,Yes
0.677744,0.329926,0.462255,Yes
0.773179,0.621921,0.221201,Yes
1.329635,1.47981,-0.479759,Yes
-4.833914,-0.828124,-0.406797,No
0.867142,-1.055549,-0.523792,No
-1.470542,-1.139775,-0.332361,No
-4.204905,-0.759,-1.041675,No
1.030308,-1.478722,-0.212185,No
-1.923062,-0.979913,-0.066546,No
-1.084694,-0.881628,-0.583214,No
