@relation 'sportsArticle_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.Remove-R10-30'

@attribute 0.184totalWordsCount+0.178CD+0.178FW+0.178semanticobjscore+0.176baseform... numeric
@attribute '0.445Quotes+0.43 RP+0.276past+0.275VB+0.231CC...' numeric
@attribute '0.326colon+0.326CC+0.29 PDT-0.255RP-0.249POS...' numeric
@attribute 0.502txtcomplexity-0.363exclamationmarks-0.287ellipsis-0.275questionmarks+0.197past... numeric
@attribute 0.538ellipsis+0.534exclamationmarks+0.218VB+0.216past-0.193present3rd... numeric
@attribute '0.495semicolon+0.323VBZ-0.294NN+0.262WP+0.26 RB...' numeric
@attribute 0.683JJS+0.334colon-0.259RB-0.227RBR-0.209compsupadjadv... numeric
@attribute -0.656sentencelast-0.601sentence1st+0.171pronouns1st+0.141TOs+0.129colon... numeric
@attribute -0.538TOs-0.411WP+0.373ellipsis+0.245JJS-0.202sentencelast... numeric
@attribute Label {objective,subjective}

@data
-5.912194,-0.757879,0.03767,0.192392,-0.039015,-0.401167,-0.504683,1.973763,-0.018633,objective
-4.015497,-0.004694,0.065406,-0.613392,-0.686787,-0.118828,0.611977,-0.056538,0.078894,objective
-5.647062,-0.823884,0.170863,0.125878,0.054865,0.003346,0.106132,-0.297927,-0.259125,objective
-4.09576,0.002746,0.212098,0.097045,0.027516,0.353124,-0.118762,-0.280341,0.015728,objective
-3.039316,0.440022,0.318895,0.830794,0.612004,-0.002307,-0.039366,-0.253223,-0.266551,objective
-3.937519,0.26406,-0.023504,0.138378,0.267574,0.510987,-0.273869,-0.426203,0.024771,objective
-4.416514,-0.428651,1.113342,0.898029,0.434561,0.304788,1.35968,0.338606,-0.600884,objective
-2.595037,0.350803,-0.816497,-0.24207,-0.579542,-0.024623,0.208239,-0.253688,0.164247,objective
0.339969,3.551515,-1.043293,0.475176,0.334901,-0.451651,0.258743,-0.422462,0.024852,objective
1.257808,1.803139,0.993099,1.263172,1.395811,2.309816,-1.018529,-0.009741,-2.12845,objective
-2.392982,1.624188,-0.408605,-0.280797,0.162316,-0.86596,0.272528,-0.481775,-0.034784,objective
-5.870004,-0.646809,-0.253169,-0.752692,-0.418892,-0.092904,-0.09924,-0.425563,-0.080351,objective
-0.692608,0.75637,1.404635,0.657746,0.831638,-0.520735,-0.141723,-0.527526,0.054301,objective
-4.741215,0.403986,-0.401662,-0.679722,-0.20924,-0.097992,-0.138293,-0.426631,-0.064534,objective
-1.515999,0.92111,0.634097,0.595637,0.597218,0.458476,-0.035988,-0.354402,-0.071621,objective
-5.504285,-0.987071,0.284003,-0.387693,-0.038974,-0.084194,-0.022369,-0.440198,-0.114123,objective
-4.069176,-1.00776,0.628877,0.816408,0.356352,0.615282,-0.338727,-0.287615,-0.089919,objective
-4.349986,-1.173933,0.266576,0.763552,0.38794,-0.020554,0.583943,0.015012,-0.583644,objective
8.171236,-1.819688,-0.237951,1.992935,0.196134,-0.274351,0.386203,-0.013139,0.088538,objective
1.629862,3.13258,-0.31632,-0.511953,0.012731,0.064809,0.326005,0.323134,-1.09186,objective
-5.909994,-0.642766,0.349366,-0.475948,-0.122523,-0.212879,-0.158993,-0.432823,-0.071049,objective
-4.72664,-0.909457,1.107365,0.65985,0.345928,0.304019,-0.430009,-0.211351,-0.021487,objective
-4.88735,-1.055547,0.460106,-0.104939,0.008909,0.324972,-0.367301,-0.386001,-0.080029,objective
-4.490439,0.215728,0.232028,-0.146154,-0.049579,-0.54069,0.315444,-0.330361,-0.044156,objective
4.931547,-1.254683,-0.894638,0.673804,-0.713342,-0.27005,0.244153,-0.64937,0.783187,objective
-1.353778,2.363421,-0.745939,0.755333,0.516663,0.376221,0.364907,0.207358,-0.003694,objective
1.84388,3.811499,-0.592045,0.237795,0.356676,1.067496,0.122187,0.282949,0.33739,objective
-2.093228,-0.365103,0.195158,0.607247,0.406501,-0.847351,-0.289841,2.254743,0.5324,objective
1.226171,0.732895,0.259864,0.677486,1.230993,-0.640093,0.49049,-0.878583,-0.47712,objective
-2.803293,1.172989,1.105421,0.354275,0.486131,0.723099,0.607166,0.08338,-0.514026,objective
-2.627285,0.476328,-0.796397,0.130803,-0.5236,0.264133,0.023715,-0.248091,0.37251,objective
-6.151551,-0.940901,0.17318,-0.310617,-0.081062,0.349219,-0.235808,-0.29962,-0.084759,objective
-3.2858,0.404163,0.222341,0.446083,0.501158,0.385843,-0.385847,-0.405628,-0.044867,objective
-5.904454,0.082157,-0.598079,-0.935424,-0.55692,0.093416,-0.011636,-0.250259,-0.028721,objective
-2.253874,2.045518,1.033023,-0.342272,-0.255421,-2.15605,-0.361157,2.121636,0.576424,objective
