@relation 'bloodDonation_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1_clustered'

@attribute Instance_number numeric
@attribute '-0.611Frequency (times)-0.611Monetary (c.c. blood)-0.494Time (months)+0.093Recency (months)' numeric
@attribute '0.915Recency (months)+0.384Time (months)-0.085Monetary (c.c. blood)-0.085Frequency (times)' numeric
@attribute '0.78 Time (months)-0.391Recency (months)-0.345Monetary (c.c. blood)-0.345Frequency (times)' numeric
@attribute 'whether he/she donated blood in March 2007' {Yes,No}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
0,-10.691235,-1.142435,-2.856571,Yes,cluster6
1,-1.549606,-1.392284,-0.626237,Yes,cluster4
2,-2.307978,-1.25642,-0.805203,Yes,cluster4
3,-3.336501,-1.10246,-1.006372,Yes,cluster4
4,0.013334,-1.211679,-0.461704,Yes,cluster1
5,-0.567492,-1.143985,-0.442107,Yes,cluster1
6,-9.819153,-0.68654,-2.528777,Yes,cluster6
7,-0.898431,-1.078634,-0.368305,Yes,cluster4
8,0.20243,-1.166766,-0.311491,Yes,cluster1
9,0.492842,-1.200613,-0.321289,Yes,cluster1
10,-2.141136,-0.880238,-0.201104,Yes,cluster4
11,-2.370758,-0.893647,-0.287312,Yes,cluster4
12,0.20243,-1.166766,-0.311491,Yes,cluster1
13,1.053404,-1.252555,-0.308883,Yes,cluster1
14,1.053404,-1.252555,-0.308883,Yes,cluster1
15,0.182166,-1.151014,-0.279489,Yes,cluster1
16,0.182166,-1.151014,-0.279489,Yes,cluster1
17,-1.415633,-0.816277,-0.509412,Yes,cluster4
18,0.515939,-0.974446,-0.417988,Yes,cluster1
19,-0.875334,-0.852467,-0.465004,Yes,cluster4
20,-0.875334,-0.852467,-0.465004,Yes,cluster4
21,-0.625449,-0.85481,-0.410798,Yes,cluster1
22,-0.479713,-1.020312,-0.131884,Yes,cluster5
23,-1.702154,-0.837668,0.003315,Yes,cluster4
24,0.205263,-0.924847,-0.376188,Yes,cluster1
25,-2.323506,-0.73847,0.086915,Yes,cluster4
26,-0.125677,-0.859496,-0.302385,Yes,cluster1
27,-2.033094,-0.772317,0.077117,Yes,cluster4
28,0.391525,-1.121853,-0.161279,Yes,cluster1
29,-3.799725,-0.498245,-0.33502,Yes,cluster4
30,-0.665975,-0.823306,-0.346793,Yes,cluster1
31,-1.472531,-0.824259,0.089523,Yes,cluster5
32,0.455149,-0.92719,-0.321982,Yes,cluster1
33,-3.590366,-0.469084,-0.21681,Yes,cluster4
34,-0.416089,-0.825649,-0.292587,Yes,cluster1
35,-0.270354,-0.991151,-0.013674,Yes,cluster5
36,-0.621557,-0.910048,0.092131,Yes,cluster5
37,0.414622,-0.895686,-0.257977,Yes,cluster1
38,0.952087,-1.173795,-0.148873,Yes,cluster1
39,0.641411,-1.124196,-0.107072,Yes,cluster1
40,-3.212174,-0.379258,0.083615,Yes,cluster4
41,1.262763,-1.223394,-0.190673,Yes,cluster1
42,1.262763,-1.223394,-0.190673,Yes,cluster1
43,0.600884,-1.092692,-0.043068,Yes,cluster1
44,0.063419,-0.814583,-0.152173,Yes,cluster1
45,-0.060995,-0.96199,0.104537,Yes,cluster5
46,-0.412198,-0.880887,0.210341,Yes,cluster5
47,1.28586,-0.997227,-0.287372,Yes,cluster1
48,-0.868609,-0.665786,-0.026772,Yes,cluster5
49,0.664508,-0.898029,-0.203771,Yes,cluster1
50,-0.195182,-0.683404,-0.222726,Yes,cluster1
51,-0.578196,-0.699633,-0.03657,Yes,cluster5
52,-2.499152,-0.410021,0.813166,Yes,cluster2
53,0.272778,-0.785422,-0.033962,Yes,cluster1
54,-0.699777,-0.605121,0.155443,Yes,cluster5
55,-0.635095,-0.707615,0.562364,Yes,cluster5
56,-2.141223,-0.304443,1.145593,Yes,cluster2
57,0.810244,-1.063531,0.075142,Yes,cluster1
58,0.211988,-0.738166,0.062044,Yes,cluster5
59,-0.324419,-0.757214,0.520564,Yes,cluster5
60,0.047048,-0.854069,0.382758,Yes,cluster5
61,-0.821357,-0.510609,0.347455,Yes,cluster5
62,-0.861884,-0.479105,0.41146,Yes,cluster5
63,1.141183,-1.128882,0.00134,Yes,cluster1
64,1.184543,-0.918467,-0.127361,Yes,cluster1
65,0.83334,-0.837364,-0.021557,Yes,cluster1
66,1.12092,-1.11313,0.033342,Yes,cluster1
67,-0.878256,-0.518591,0.94639,Yes,cluster2
68,1.512649,-1.225737,-0.136467,Yes,cluster1
69,1.512649,-1.225737,-0.136467,Yes,cluster1
70,1.512649,-1.225737,-0.136467,Yes,cluster1
71,1.512649,-1.225737,-0.136467,Yes,cluster1
